category_no,category,compound,lot,lot_value,lot_unit,price_idr,price_at_53pct_idr,change_pct,price_per_unit_idr,supplier_lot_idr,cost_basis_idr,gross_margin_pct,status
01,GLP-1s & Weight Loss,Cagrilintide,10 mg,10.0,mg,2700000,3000000,-10.0,270000,800000,1400000,48.1,existing
01,GLP-1s & Weight Loss,Retatrutide,5 mg,5.0,mg,2400000,2700000,-11.11,480000,650000,1250000,47.9,existing
01,GLP-1s & Weight Loss,Retatrutide,10 mg,10.0,mg,2800000,3100000,-9.68,280000,850000,1450000,48.2,existing
01,GLP-1s & Weight Loss,Retatrutide,15 mg,15.0,mg,3200000,3500000,-8.57,213333,1050000,1650000,48.4,existing
01,GLP-1s & Weight Loss,Retatrutide,20 mg,20.0,mg,3600000,3900000,-7.69,180000,1250000,1850000,48.6,existing
01,GLP-1s & Weight Loss,Retatrutide,30 mg,30.0,mg,4600000,5100000,-9.8,153333,1800000,2400000,47.8,existing
01,GLP-1s & Weight Loss,Retatrutide,60 mg,60.0,mg,7500000,8300000,-9.64,125000,3300000,3900000,48.0,existing
01,GLP-1s & Weight Loss,Retatrutide Pen,10 mg,10.0,mg,3700000,4000000,-7.5,370000,1300000,1900000,48.6,new
01,GLP-1s & Weight Loss,Retatrutide Pen,20 mg,20.0,mg,4600000,5100000,-9.8,230000,1800000,2400000,47.8,new
01,GLP-1s & Weight Loss,Retatrutide Pen,30 mg,30.0,mg,5400000,6000000,-10.0,180000,2200000,2800000,48.1,new
01,GLP-1s & Weight Loss,Retatrutide Pen,40 mg,40.0,mg,6500000,7200000,-9.72,162500,2800000,3400000,47.7,new
01,GLP-1s & Weight Loss,Retatrutide Pen,60 mg,60.0,mg,8300000,9100000,-8.79,138333,3700000,4300000,48.2,new
01,GLP-1s & Weight Loss,Retatrutide Cartridge Refill,10 mg,10.0,mg,3000000,3300000,-9.09,300000,950000,1550000,48.3,new
01,GLP-1s & Weight Loss,Retatrutide Cartridge Refill,20 mg,20.0,mg,3800000,4300000,-11.63,190000,1400000,2000000,47.4,new
01,GLP-1s & Weight Loss,Tirzepatide,10 mg,10.0,mg,2200000,2400000,-8.33,220000,550000,1150000,47.7,existing
01,GLP-1s & Weight Loss,Tirzepatide,30 mg,30.0,mg,3500000,3800000,-7.89,116667,1200000,1800000,48.6,existing
01,GLP-1s & Weight Loss,Tirzepatide,40 mg,40.0,mg,4000000,4500000,-11.11,100000,1500000,2100000,47.5,existing
01,GLP-1s & Weight Loss,AOD-9604,5 mg,5.0,mg,2700000,3000000,-10.0,540000,800000,1400000,48.1,new
02,GH Secretagogues,CJC-1295 (No DAC) + Ipamorelin,10 mg,10.0,mg,2700000,3000000,-10.0,270000,800000,1400000,48.1,existing
02,GH Secretagogues,CJC-1295 (No DAC) + Ipamorelin,20 mg,20.0,mg,3800000,4300000,-11.63,190000,1400000,2000000,47.4,existing
02,GH Secretagogues,CJC-1295 (With DAC),5 mg,5.0,mg,2900000,3200000,-9.38,580000,900000,1500000,48.3,new
02,GH Secretagogues,HGH 191AA (Somatropin),36 IU,36.0,IU,2900000,3200000,-9.38,80556,900000,1500000,48.3,existing
02,GH Secretagogues,HGH 191AA (Somatropin),40 IU,40.0,IU,3300000,3600000,-8.33,82500,1100000,1700000,48.5,existing
02,GH Secretagogues,IGF-1 LR3,1 mg,1.0,mg,3800000,4100000,-7.32,3800000,1350000,1950000,48.7,new
02,GH Secretagogues,Ipamorelin,10 mg,10.0,mg,2500000,2800000,-10.71,250000,700000,1300000,48.0,existing
02,GH Secretagogues,Ipamorelin + Tesamorelin,18 mg,18.0,mg,4500000,5000000,-10.0,250000,1750000,2350000,47.8,existing
02,GH Secretagogues,Sermorelin,10 mg,10.0,mg,3100000,3400000,-8.82,310000,1000000,1600000,48.4,new
02,GH Secretagogues,Tesamorelin,10 mg,10.0,mg,3300000,3600000,-8.33,330000,1100000,1700000,48.5,existing
02,GH Secretagogues,Tesamorelin,20 mg,20.0,mg,4200000,4700000,-10.64,210000,1600000,2200000,47.6,existing
03,Healing & Repair,AHK-Cu,100 mg,100.0,mg,2500000,2800000,-10.71,25000,700000,1300000,48.0,new
03,Healing & Repair,ARA-290,10 mg,10.0,mg,2800000,3100000,-9.68,280000,850000,1450000,48.2,new
03,Healing & Repair,ARA-290,50 mg,50.0,mg,4100000,4600000,-10.87,82000,1550000,2150000,47.6,new
03,Healing & Repair,BPC-157,10 mg,10.0,mg,2400000,2700000,-11.11,240000,650000,1250000,47.9,existing
03,Healing & Repair,BPC-157 + TB-500 (Wolverine),20 mg,20.0,mg,3600000,3900000,-7.69,180000,1250000,1850000,48.6,existing
03,Healing & Repair,GHK-Cu,50 mg,50.0,mg,1900000,2100000,-9.52,38000,370000,970000,48.9,existing
03,Healing & Repair,GHK-Cu,100 mg,100.0,mg,2100000,2300000,-8.7,21000,500000,1100000,47.6,existing
03,Healing & Repair,KPV,10 mg,10.0,mg,2300000,2600000,-11.54,230000,600000,1200000,47.8,existing
03,Healing & Repair,KLOW (BPC+TB+GHK+KPV),80 mg,80.0,mg,3900000,4400000,-11.36,48750,1450000,2050000,47.4,existing
03,Healing & Repair,LL-37,5 mg,5.0,mg,2700000,3000000,-10.0,540000,800000,1400000,48.1,existing
03,Healing & Repair,Peg MGF,2 mg,2.0,mg,2800000,3100000,-9.68,1400000,850000,1450000,48.2,existing
03,Healing & Repair,SNAP-8,10 mg,10.0,mg,2500000,2800000,-10.71,250000,700000,1300000,48.0,new
03,Healing & Repair,TB-500,10 mg,10.0,mg,2600000,2900000,-10.34,260000,750000,1350000,48.1,existing
04,Brain Health & Nootropics,Adamax,10 mg,10.0,mg,2800000,3100000,-9.68,280000,850000,1450000,48.2,existing
